endTime,artistName,trackName,msPlayed
2020-10-31 14:57,Ariana Grande,off the table (with The Weeknd),216559
2020-10-31 15:02,Taylor Swift,All Too Well,327893
2020-10-31 15:05,Jade Bird,Something American,182827
2020-10-31 15:10,Sara Bareilles,Love Song,258826
2020-10-31 15:16,Phoebe Bridgers,I Know The End,344692
2020-10-31 15:19,Maggie Rogers,Burning,213173
2020-10-31 15:23,Taylor Swift,Lover,221306
2020-10-31 15:26,Clairo,Sofia,188386
2020-10-31 15:30,Sara Bareilles,Gravity,232760
2020-10-31 15:36,Taylor Swift,Enchanted,352186
2020-10-31 15:37,Kacey Musgraves,Golden Hour,96677
2020-10-31 15:41,Sara Bareilles,Gravity,232760
2020-10-31 15:45,Maggie Rogers,Burning,213173
2020-10-31 16:54,Taylor Swift,Back To December,230442
2020-10-31 16:58,Sara Bareilles,Orpheus,253395
2020-10-31 17:27,Sara Bareilles,If I Can't Have You,217166
2020-10-31 17:31,Sara Bareilles,Miss Simone,253141
2020-10-31 17:34,Sara Bareilles,Someone Who Loves Me,197836
2020-10-31 17:38,Sara Bareilles,No Such Thing,237388
2020-10-31 17:39,Sara Bareilles,Eyes on You,45601
2020-10-31 17:43,Sara Bareilles,Poetry by Dead Men,228349
2020-10-31 17:47,Sara Bareilles,Saint Honesty,274677
2020-10-31 17:51,Sara Bareilles,Orpheus,225722
2020-10-31 23:20,Tame Impala,The Less I Know The Better,216320
2020-10-31 23:20,The Neighbourhood,Void,22156
2020-10-31 23:20,James Vincent McMorrow,Me and My Friends,1791
2020-10-31 23:24,Taylor Swift,the last great american dynasty,231000
2020-10-31 23:26,Pinegrove,Angelina,98226
2020-10-31 23:29,Colbie Caillat,Bubbly,196280
2020-10-31 23:33,Ghosthaus,Peachy,263952
2020-10-31 23:38,BROCKHAMPTON,SWEET,274274
2020-10-31 23:41,Boy In Space,Cold,203538
2020-10-31 23:44,Dominic Fike,Vampire,186050
2020-10-31 23:48,Halsey,Finally // beautiful stranger,221095
2020-11-01 00:33,The Band CAMINO,Less Than I Do,26648
2020-11-01 00:37,Maggie Rogers,Burning,213173
2020-11-01 00:42,Taylor Swift,betty,294520
2020-11-01 00:46,Taylor Swift,cardigan,239560
2020-11-01 00:51,Taylor Swift,All Too Well,327893
2020-11-01 01:24,John K,if we never met,703
2020-11-01 01:24,Auli'i Cravalho,How Far I'll Go,2261
2020-11-01 01:24,Sixpence None The Richer,Kiss Me,874
2020-11-01 01:24,Taylor Swift,illicit affairs,189925
2020-11-01 01:28,Maggie Rogers,The Knife,239333
2020-11-01 01:31,"Tyler, The Creator",EARFQUAKE,190066
2020-11-01 01:36,Ed Sheeran,I See Fire,300746
2020-11-01 01:40,Harry Styles,"Girl Crush - Recorded at Metropolis Studios, London",243804
2020-11-01 01:40,Hippo Campus,warm glow,14661
2020-11-01 01:44,Hozier,Jackie and Wilson,223120
2020-11-01 01:47,Dominic Fike,Vampire,186050
2020-11-01 01:50,Ritt Momney,Put Your Records On,210463
2020-11-01 01:53,Dominic Fike,Chicken Tenders,170405
2020-11-01 01:56,Matt Maeson,Hallucinogenics,187173
2020-11-01 01:57,Phoebe Bridgers,Smoke Signals,38528
2020-11-01 02:00,COIN,Crash My Car,188306
2020-11-01 02:04,Yebba,Where Do You Go,0
2020-11-01 02:04,Noah Kahan,Mess,213320
2020-11-01 02:08,Hozier,Someone New,222813
2020-11-01 02:11,flor,back again,180611
2020-11-01 17:26,Sara Bareilles,Someone Who Loves Me,197836
2020-11-01 17:30,Taylor Swift,my tears ricochet,255893
2020-11-01 17:35,Taylor Swift,Cornelia Street,287266
2020-11-01 17:38,Taylor Swift,London Boy,190240
2020-11-01 17:42,Phoebe Bridgers,Kyoto,184524
2020-11-01 17:45,Phoebe Bridgers,ICU,190093
2020-11-01 17:49,Maggie Rogers,Tim McGraw - Recorded At Spotify Studios NYC,250836
2020-11-01 17:54,Taylor Swift,Back To December,293026
2020-11-01 17:59,Taylor Swift,betty,294521
2020-11-01 18:04,Sara Bareilles,"Manhattan - Live at the Variety Playhouse, Atlanta, GA - May 2013",288733
2020-11-01 18:08,Sara Bareilles,Love Song,258826
2020-11-01 18:12,Maggie Rogers,Light On,233880
2020-11-01 18:15,Maggie Rogers,On + Off,221600
2020-11-01 18:19,Kacey Musgraves,Butterflies,219053
2020-11-01 18:23,Phoebe Bridgers,Garden Song,219681
2020-11-01 18:26,Jade Bird,What Am I Here For,215894
2020-11-01 18:30,Kacey Musgraves,Space Cowboy,216280
2020-11-01 18:32,Taylor Swift,Lover,134345
2020-11-01 18:36,Sara Bareilles,Poetry by Dead Men,228349
2020-11-01 18:41,Phoebe Bridgers,Smoke Signals,324773
2020-11-01 18:45,Phoebe Bridgers,Punisher,189622
2020-11-01 18:49,Taylor Swift,cardigan,239560
2020-11-01 18:52,Maggie Rogers,Say It,220960
2020-11-01 18:57,Maggie Rogers,Fallingwater,271200
2020-11-01 19:00,Taylor Swift,seven,208906
2020-11-01 19:05,Sara Bareilles,Miss Simone,253141
2020-11-01 19:10,Taylor Swift,Enchanted,352186
2020-11-01 19:14,Kacey Musgraves,Rainbow,214293
2020-11-01 19:19,Phoebe Bridgers,Moon Song,277676
2020-11-01 19:23,Taylor Swift,Out Of The Woods,235800
2020-11-01 19:23,Kacey Musgraves,Golden Hour,15802
2020-11-01 19:27,Taylor Swift,the last great american dynasty,231000
2020-11-01 19:28,Taylor Swift,I Forgot That You Existed,87433
2020-11-01 19:33,Sara Bareilles,"(Sittin' On) The Dock of the Bay - Live at the Variety Playhouse, Atlanta, GA - May 2013",304346
2020-11-01 19:37,Phoebe Bridgers,Savior Complex,241640
2020-11-01 19:41,Kacey Musgraves,Slow Burn,246133
